fips,percent_below_poverty,smoking_ban_2010,unemployment_rate_2019,average_2011_upper_bound_pct_obesity,rural_urban_continuum_code_2013,labels_small
45001,18.7,none,5.2,45.51,6.0,3
45003,14.9,none,7.1,43.065,2.0,3
45005,25.0,none,14.9,56.765,6.0,1
45007,14.6,none,4.6,40.39,2.0,3
45009,23.4,none,4.1,52.955,7.0,1
45011,28.1,none,6.1,50.245,6.0,1
45013,10.2,comprehensive,4.9,32.33,3.0,0
45015,11.9,partial,4.6,46.73,2.0,2
45017,20.8,comprehensive,5.8,48.23,2.0,0
45019,13.7,none,3.5,36.41,2.0,3
45021,19.4,none,5.9,44.83,4.0,3
45023,19.6,none,5.2,48.43,1.0,3
45025,20.7,none,8.8,45.47,6.0,1
45027,22.9,none,11.9,51.415,6.0,1
45029,21.8,none,8.3,48.595,6.0,1
45031,20.0,none,7.7,45.27,3.0,1
45033,32.6,none,6.8,52.23,6.0,1
45035,12.1,comprehensive,4.4,41.845,2.0,0
45037,16.2,none,6.8,48.52,2.0,3
45039,20.9,comprehensive,6.2,50.405,2.0,0
45041,18.4,none,5.9,44.755,3.0,3
45043,17.9,none,7.2,43.385000000000005,4.0,3
45045,11.5,none,4.0,37.87,2.0,3
45047,20.8,none,6.0,44.595,4.0,1
45049,20.5,none,9.2,51.655,6.0,1
45051,15.0,none,5.7,39.575,2.0,3
45053,17.7,none,6.9,50.09,3.0,1
45055,14.9,none,4.8,42.53,2.0,3
45057,13.4,partial,6.7,44.42,1.0,2
45059,20.3,none,7.5,47.075,2.0,1
45061,25.0,none,7.9,52.96,6.0,1
45063,12.5,none,4.9,41.01,2.0,3
45065,15.4,none,8.5,51.27,8.0,1
45067,22.7,none,8.5,49.02,6.0,1
45069,26.4,none,10.5,52.38,6.0,1
45071,17.6,none,5.0,48.345,6.0,1
45073,17.5,none,5.4,41.120000000000005,4.0,3
45075,23.6,none,9.5,49.34,4.0,1
45077,16.6,none,4.8,38.71,2.0,3
45079,16.2,partial,5.8,40.245000000000005,2.0,2
45081,15.1,none,6.7,45.905,2.0,3
45083,14.0,none,5.0,37.915,2.0,3
45085,18.7,partial,8.5,45.86,3.0,2
45087,21.6,none,5.9,47.755,2.0,1
45089,26.4,none,6.3,51.895,6.0,1
45091,10.5,none,4.6,39.755,1.0,3
46003,5.4,partial,1.4,43.135000000000005,9.0,2
46005,16.2,partial,1.1,42.785,7.0,2
46007,35.9,partial,12.6,48.96,9.0,1
46009,10.7,partial,1.6,43.03,9.0,2
46011,14.7,partial,2.8,37.255,5.0,2
46013,10.5,none,2.5,39.475,5.0,3
46015,13.5,partial,1.9,41.735,9.0,2
46017,39.7,none,24.6,52.675,9.0,1
46019,11.4,none,4.9,41.18,6.0,3
46021,4.0,none,0.4,44.185,9.0,3
46023,19.0,partial,7.0,45.44,9.0,2
46025,9.0,partial,3.8,42.11,9.0,2
46027,22.4,none,3.5,41.370000000000005,6.0,3
46029,12.9,partial,1.5,38.825,5.0,2
46031,44.8,partial,24.7,49.59,9.0,1
46033,13.8,none,3.2,40.48,3.0,3
46035,14.2,partial,1.3,42.33,7.0,2
46037,16.7,partial,2.1,42.88,9.0,2
46039,8.7,none,0.9,42.495000000000005,9.0,3
46041,31.3,none,21.1,53.815,9.0,1
46043,6.3,partial,0.9,46.1,9.0,2
46045,4.7,partial,1.7,43.05,9.0,2
46047,14.0,partial,1.7,41.17,6.0,2
46049,14.7,partial,0.2,43.805,9.0,2
46051,9.1,comprehensive,2.6,43.145,7.0,0
46053,14.3,partial,0.8,42.75,9.0,2
46055,12.2,partial,1.2,38.615,8.0,2
46057,5.7,partial,2.4,42.425,9.0,2
46059,8.2,partial,0.0,41.875,9.0,2
46061,7.7,partial,2.0,43.47,8.0,2
46063,7.1,partial,2.7,43.045,9.0,2
46065,11.2,partial,3.2,40.085,7.0,2
46067,9.6,partial,3.7,44.325,8.0,2
46069,10.5,none,0.3,44.46,9.0,3
46071,45.4,comprehensive,10.0,48.7,8.0,1
46073,7.9,partial,0.1,42.31,9.0,2
46075,12.4,none,5.4,42.795,9.0,3
46077,8.2,partial,0.5,41.115,9.0,2
46079,12.7,comprehensive,2.9,40.11,6.0,0
46081,12.7,none,2.4,35.125,6.0,3
46083,4.1,partial,1.5,37.83,3.0,2
46085,20.5,partial,6.9,47.215,9.0,2
46087,9.7,partial,2.0,40.68,3.0,2
46089,13.8,none,2.8,46.73,9.0,3
46091,8.5,partial,3.2,43.82,9.0,2
46093,6.9,partial,1.7,37.685,3.0,2
46095,52.8,partial,6.6,50.09,9.0,1
46097,6.8,partial,0.8,40.015,8.0,2
46099,10.0,partial,2.6,38.485,3.0,2
46101,11.4,partial,3.9,41.55,8.0,2
46103,13.8,partial,4.0,36.150000000000006,3.0,2
46105,9.2,partial,3.2,42.63,8.0,2
46107,7.5,partial,0.7,41.395,9.0,2
46109,20.1,partial,5.3,45.555,9.0,2
46111,8.8,partial,1.5,44.3,9.0,2
46115,9.9,partial,1.7,42.535,9.0,2
46117,4.7,partial,0.6,42.22,9.0,2
46119,7.9,partial,0.5,41.745000000000005,9.0,2
46121,55.5,comprehensive,8.0,53.625,9.0,1
46123,19.5,partial,4.0,43.245000000000005,7.0,2
46125,10.9,partial,1.7,42.885000000000005,3.0,2
46127,8.6,none,1.2,40.945,3.0,3
46129,9.7,partial,2.4,43.495,7.0,2
46135,11.1,partial,3.7,39.67,7.0,2
46137,42.5,partial,25.3,52.7,8.0,1
47001,16.7,none,5.9,42.355,2.0,3
47003,14.3,none,3.6,47.23,4.0,3
47005,19.5,none,6.9,46.52,7.0,1
47007,23.2,none,9.8,47.63,8.0,1
47009,11.1,none,4.1,41.725,2.0,3
47011,16.0,none,4.9,42.435,3.0,3
47013,21.0,none,8.9,48.2,2.0,1
